,id_stable,Date,Content,ContentClean,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags
108,13340,2022-03-02 02:24:19+00:00,@pjoreterffery Yeah I mean I think squeezing the Afghan people and turning away asylum seekers is terrible but I'm not apoplectic because the president increased the price of milk by 40000%,Yeah I mean I think squeezing the Afghan people and turning away asylum seekers is terrible but I'm not apoplectic because the president increased the price of milk by 40000%,5,0.0284090909090909,"I, I",,@pjoreterffery,"Chicago, IL",1,0,8,0,No hashtags
1012,20675,2022-02-04 23:37:50+00:00,"@saverayan1 How sweet and this poor little one looks to be in a refugee camp. Our poor arab/Muslim children in Syria, Palestine, Yemen, Iraq, Afghanistan. Childhoods destroyed for money wars.","How sweet and this poor little one looks to be in a refugee camp. Our poor arab/Muslim children in Syria, Palestine, Yemen, Iraq, Afghanistan. Childhoods destroyed for money wars.",9,0.0497237569060773,,,@saverayan1,"Toulouse, LA, Rabat, London",0,0,1,0,No hashtags
772,63713,2021-09-27 14:25:01+00:00,"Biden's vetted Afghanistan refugees are committing crimes
https://t.co/4UpOslBILh",Biden's vetted Afghanistan refugees are committing crimes,2,0.0338983050847457,,https://t.co/4UpOslBILh,,English-speaking,0,0,0,0,No hashtags
934,70672,2021-09-18 17:45:32+00:00,"@MoBrooks You're talking about Trump who:
• Surrendered Afghanistan to the Taliban.
• Traded 5,000 terrorists for America's surrender.
• Gutted and sabotaged America's military advantage.
• Gutted America's ability to vet and evacuate allies.
• Made a deal with their terrorist leader. https://t.co/L8kvJLttsA","You're talking about Trump who: • Surrendered Afghanistan to the Taliban. • Traded 5,000 terrorists for America's surrender. • Gutted and sabotaged America's military advantage. • Gutted America's ability to vet and evacuate allies. • Made a deal with their terrorist leader.",12,0.043010752688172,,https://t.co/L8kvJLttsA,@MoBrooks,Everywhere else.,0,1,1,0,No hashtags
450,50394,2021-10-26 01:23:10+00:00,"How can Canada best deliver on its commitment to resettle 40,000 Afghans? 

“It’s really important that Afghans themselves are part of that conversation,” @lerrning's James Milner tells @btxlau.

Read more in this compelling piece in @nationalpost 

https://t.co/VY4SmczFE6","How can Canada best deliver on its commitment to resettle 40,000 Afghans? “It’s really important that Afghans themselves are part of that conversation,” James Milner tells Read more in this compelling piece in",8,0.036036036036036,,https://t.co/VY4SmczFE6,"@lerrning's, @btxlau., @nationalpost","Ottawa, Ontario",1,2,10,1,No hashtags
633,2843,2022-04-14 15:51:13+00:00,@Penralltgoch @Channel4News Or Afghanistan refugees/asylum seekers? We know many are still trying to get here after being left behind.. desperate situation and cruel policy..I hope it never happens,Or Afghanistan refugees/asylum seekers? We know many are still trying to get here after being left behind.. desperate situation and cruel policy..I hope it never happens,4,0.0231213872832369,,,"@Penralltgoch, @Channel4News",Lancashire,1,0,0,0,No hashtags
925,13847,2022-02-28 21:32:40+00:00,"An refugee couple who fled to Cork in Aug following the fall of Kabul have been struggling to open a joint bank account for months now.  The banks continue to insist they must produce a marriage cert. No prob, they’ll just nip back to Afghanistan &amp; ask the Taliban for a copy.FFS!","An refugee couple who fled to Cork in Aug following the fall of Kabul have been struggling to open a joint bank account for months now. The banks continue to insist they must produce a marriage cert. No prob, they’ll just nip back to Afghanistan & ask the Taliban for a copy.FFS!",11,0.0387323943661971,,,,English-speaking,0,2,5,0,No hashtags
212,120006,2021-08-24 19:20:12+00:00,"Airbnb CEO Brian Chesky wrote, “The displacement and resettlement of Afghan refugees in the U.S. and elsewhere is one of the biggest humanitarian crises of our time. We feel a responsibility to step up.”

https://t.co/ODrmWI4s4H
 https://t.co/j4cIY320Tx","Airbnb CEO Brian Chesky wrote, “The displacement and resettlement of Afghan refugees in the U.S. and elsewhere is one of the biggest humanitarian crises of our time. We feel a responsibility to step up.”",11,0.0526315789473684,"CEO, U.S.","https://t.co/ODrmWI4s4H, https://t.co/j4cIY320Tx",,"Dothan, AL",0,0,0,0,No hashtags
405,20024,2022-02-08 02:11:13+00:00,"All membership fees and donations to CIVIC during the week of our Afghanistan Refugee Resettlement Fundraiser (Feb 6-12) will support Afghan refugees and @cmccr, as they face resettling into  Iowa. To donate:  https://t.co/Le4mvu2aYE More information: https://t.co/MGncPOkZDJ",All membership fees and donations to CIVIC during the week of our Afghanistan Refugee Resettlement Fundraiser (Feb 6-12) will support Afghan refugees and as they face resettling into Iowa. To donate: More information:,15,0.0666666666666666,CIVIC,"https://t.co/Le4mvu2aYE, https://t.co/MGncPOkZDJ","@cmccr,","Iowa City, Iowa ",0,0,1,0,No hashtags
131,168030,2021-08-16 03:18:25+00:00,@day_light_07 @Gulalai_Ismail Hahaha yes all are gone for asylum not surrender. But you people say taliban behind is no1. Another thing i am not happy but i am shocked that only with motorcycle and sevis shoes taliban down 3 lakh army with 20 years of training and also well equipped in week. But  Afghanistan,Hahaha yes all are gone for asylum not surrender. But you people say taliban behind is no1. Another thing i am not happy but i am shocked that only with motorcycle and sevis shoes taliban down 3 lakh army with 20 years of training and also well equipped in week. But Afghanistan,5,0.0176678445229682,,,"@day_light_07, @Gulalai_Ismail","Islamabad, Pakistan",2,0,0,0,No hashtags
