,id_stable,Date,ContentClean
826,45717,2021-11-09 17:42:22+00:00,"I thought Joe said no Americans would be left behind, just another lie I guess, can’t keep up with his lies, had no problem bringing all the Afghans over with no issues, no vetting, horrible"
142,18646,2022-02-13 00:28:08+00:00," calendar_e Tuesday, Feb 15, 12pm ET Join for the launch of the Afghan refugee crisis report! Author in his first intervention since his exit from politics, will be joined by and for a discussion moderated by"
232,102329,2021-08-30 12:45:30+00:00,"Interior Minister Sheikh Rashid Ahmed said no Afghan who has arrived in Pakistan as part of evacuation efforts has been given ""refugee status"" yet, stressing that Islamabad has not taken incoming citizens of other countries as refugees. #AfghanRefugees"
574,144849,2021-08-18 19:09:08+00:00,"The vast majority of the 11,790 Afghans who have been resettled in Houston since 2007 have come through Special Immigrant Visas, granted to individuals w/ a proven record of working with Allied forces. Many fear their families back home will pay the price for their service."
1198,139502,2021-08-19 17:21:27+00:00,Patriotic Alternative Yorkshire Protest Against Afghan Resettlement Scheme #LBRY via
763,136832,2021-08-20 08:15:33+00:00,"The sooner we realize that the US sees us as a location for braindraining our best talent, a cannon-fodder against China, & a refugee dump for its mistakes in Afghanistan the better our policies will be They will preach friendship & ally with Pakistan. मुँह में राम बग़ल में छुरी"
1179,127061,2021-08-22 21:25:36+00:00,"Yes ! Without question ! Bedlam, on the ground, chaos, in the wake of US Troops departure - there’s not going to be a smooth transition.. there’s been a concerted effort though, in the issuance of the SIV’s, especially for the Afghani translators, who aided US Troops, on the"
527,153370,2021-08-17 18:18:11+00:00,"The Biden Regime is bringing in thousands of unvetted Afghani's and releasing them into your neighborhoods but YOU, an American citizen have to show proof of vaccine to go to an event."
378,4535,2022-04-06 05:41:32+00:00,Grants Given to Support Afghan Refugee Resettlement Efforts
596,97130,2021-09-01 06:15:08+00:00,"Look at this news article from The Daily Caller: America First Legal Requests Investigation Into The #Biden Administration’s Afghanistan Withdrawal, Demands Answers On ’Vetting’ Of Evacuees"
1152,123726,2021-08-23 20:20:32+00:00,"UK shouldn’t ‘turn its back’ on Afghans arriving via irregular routes’, UN refugee agency warns"
1001,108973,2021-08-27 16:27:49+00:00,"Meanwhile, beds, clothes, food and others were prepared inside Afghan Refugee Camp in Germany 2021 |"
867,184860,2021-07-16 19:24:22+00:00,writes about Afghan #Migration Turkey should prepare for new refugee influx from Afghanistan | Arab News
