,id_stable,Date,ContentClean
0,22583,2022-01-27 21:53:05+00:00,Thousands of Afghan evacuees have been welcomed into the U.S. under humanitarian parole. We must provide a pathway for Afghans to become lawful permanent residents so they can integrate and thrive in their new homes! TAKE ACTION: #AfghanAdjustmentAct
1,141728,2021-08-19 09:18:21+00:00,Bespoke resettlement route for Afghan refugees
2,11317,2022-03-08 05:06:09+00:00,"Instead the Afghan Resettlement project is stalled so the Govt is unwilling to commit to more refugees, they are aware that the official system of support is overwhelmed. Thank goodness charities are filling the gap but they need support like an online register of accommodation"
3,177593,2021-08-08 21:04:20+00:00,"Taliban will kill us, warn over 100 former Afghan staff refused UK asylum - The Telegraph"
4,91649,2021-09-03 14:31:58+00:00,"Unfortunately it took Canada until Aug 31 to join the US/Qatar Afghan refugee plan. Had we taken this approach sooner, many lives could have been saved. #Elxn44 #cdnpoli #Afganisthan"
5,36014,2021-12-08 15:20:12+00:00,"... Many Afghans are at imminent risk and don’t have the luxury of waiting to see if they’ll get a place under the UK’s resettlement scheme, forcing them to hastily flee by boat or on foot..."
6,98952,2021-08-31 16:13:06+00:00,Residents at care village founded by Jewish war refugee are helping Afghans arriving in city
7,157856,2021-08-17 06:37:00+00:00,Horrific images from Kabul -saddening how backs have been turned on all these people. I hope asylum will be granted to everyone who makes it out of Afghanistan (without inhumane disputes about migration). Let’s not betray the people of Afghanistan twice #Afghanistan
8,17931,2022-02-16 01:37:06+00:00,That's one of the choppers Biden left in Afghanistan. See the refugee hanging from it?
9,4725,2022-04-05 07:21:22+00:00,"'There's a whole new wave of Afghans who are leaving their country'. In 2016 journalist & author joined his Afghan friend Omar on the perilous migrant route to Europe. He tells me that, since the #Taliban's return to power, it's now even harder to flee. #f24 :right_arrow_curving_down:"
10,140587,2021-08-19 13:49:28+00:00,"Nobody cares, because refugees were a huge source for Pakistanis to dip into the Afghan Refugee funds."
11,185343,2021-07-15 03:31:14+00:00,"About the letter from Congress to Ninja, she made fun of Ninja and raved about the letter which means she's afraid of Ninja and knows the letter was bad. On getting Afghanistan translators out, should've happen earlier and it's Trump's & Stephen Miller's fault somehow. All I got."
12,26714,2022-01-11 18:50:26+00:00,Today I shared a moment with an Afghan refugee woman. We don't speak each other's language but we shared our tattoos with each other. #RefugeesWelcome
13,164093,2021-08-16 16:00:21+00:00,"""Stand With Afghanistan- A refugee is a human being. People become refugees due to circumstances. They are people away from their home which already makes it hard for them Don't make it any harder."" - Shweta Bhanot"
14,127933,2021-08-22 16:51:44+00:00,They are vetting all the Afghans. Even the CIA is helping.
15,141496,2021-08-19 10:20:02+00:00,"Turkey has a very important role in managing Afghan migrant wave, says EU foreign policy chief Josep Borrell"
16,101557,2021-08-30 19:04:57+00:00,"MPs trying to rescue more than 7,000 people trapped in Afghanistan. This figure dwarfs the 800 to 1,100 Afghans eligible for resettlement defence secretary said would be left behind."
17,106883,2021-08-28 09:12:10+00:00,":police_car_light:New episode alert:police_car_light: With many afghan asylum seekers coming to the UK, and churches wanting to know how to help, the boys talk about their experiences serving Iranian & Afghan asylum seekers"
18,39603,2021-11-27 20:14:20+00:00,"So you are suggesting that every refugee flees ‘next door’? Do you have any comprehension or education on the situations surrounding many of these countries and areas? Afghanistan for example. These people, who have already had every choice removed that you take for granted 1/2"
19,103886,2021-08-29 15:33:22+00:00,"On news this morning...Covid, Afghanistan, global warming, Extinction Rebellion, food shortages, lorry drivers shortage, asylum seekers.....what on earth is going on????"
20,180896,2021-07-30 16:54:41+00:00,Email address for Afghan interpreters to apply for resettlement in Canada crashes | National Post. OMG can’t we get it right?
21,106799,2021-08-28 10:13:32+00:00,Sooooooo agree! Now then talk us through Afghanistan and the long-running refugee crisis. :clown_face:
22,61753,2021-09-30 13:21:11+00:00,"Rep Green please explain that the US Government gives Afghanistan asylum seekers only $1,200. Welcome cash & a couple hundred a month to feed themselves &lt; via Most the Aid they get comes from International Aid organizations"
23,139561,2021-08-19 17:13:14+00:00,We Afghans Refugees in Indonesia are completely eligible for Resettlement due to insecurities situation in our country. Being 9 years in Indonesia with uncertainty situation is enough therefore we ask Resettlement countries to #ResettleAfghanRefugeesFromIndonesi
24,91903,2021-09-03 12:26:47+00:00,Resettlement team aiming to bring Afghan refugees to Manhattan
25,113288,2021-08-26 12:44:04+00:00,"#Canada was one of many countries taking part in the evacuation of people facing Taliban reprisals from #Kabulairport. Over 1,000 refugees are in Canada now. Canada has plans to resettle 20,000 #AfghanRefugees"
26,131872,2021-08-21 12:08:04+00:00,"Clearly, the Afghan civilian population is doubly made a victim of the war. Human rights must be the top priority and the protection of the asylum seekers, fleeing while Taliban are seizing control, must be guaranteed. #Afganistan #guengl"
27,66047,2021-09-23 22:47:43+00:00,"Man, I know this migrant thing is bad but could you at least vaccinate them before releasing them into the community? We stopped flying our Afghan allies because of measles and now we have migrants with who knows what? Measles, polio, that new COVID-19 strain from Chile?"
28,176795,2021-08-11 04:23:28+00:00,"deportations to Afghanistan. Afghans in 2020 made up 10.6 per cent of asylum seekers in the EU, or just over 44,000 of about 416,000 requests, the second largest number behind Syrians on 15.2 per cent, EU statistics show."
29,85625,2021-09-06 23:37:44+00:00,"Hey Warren, by “prior failure” are you referring to the deal Trump and Pompeo made with the Taliban in 2020? Or maybe it was a Stephen Miller, who put the brakes on SIV visas from Iraq and Afghanistan?"
30,89228,2021-09-04 16:11:51+00:00,Adopt an afghan refugee you coward
31,68387,2021-09-21 18:36:10+00:00,Refugee is a generic term beyond which there are no further similarities. How can you ever compare a refugee from Afghanistan with one from Europe ?
32,155180,2021-08-17 14:02:12+00:00,"In the UK, over 76 Afghans have had their claims for asylum rejected this year alone Additionally, the new Nationality and Borders bill would criminalise many of those seeking asylum"
33,171372,2021-08-15 14:03:22+00:00,"Afghan population 38 million. Of whom, around 3-5 million are loyal to the Taliban (based on previous elections). Leaving around 33 million potential refugees, each with a genuine case for asylum to process. I think we've found Nigel Farage a job when GB News sacks him."
34,138605,2021-08-19 20:53:30+00:00,Three categories of Afghanistan s are expected. 1.those with special immigrant visas 2.those destined to the USA as citizens. 3.Those destined to the USA as refugees. #NBSFrontline
35,176518,2021-08-11 18:54:21+00:00,"Do join me 19GMT As #US defence official warns the #Taliban could surround #Afghanistan's capital, Kabul, in 30 days, reports on #Afghan government's plans to fight back. Plus live on #migrant crisis on #Colombia #Panama border."
36,122595,2021-08-24 04:09:57+00:00,"UK says has evacuated over 7,000 people from Afghanistan This includes embassy staff, British nationals, those eligible under the Afghan Relocation & Assistance Policy programme & a number of nationals from partner nations, Reuters reported #ArianaNews"
37,172537,2021-08-15 04:40:46+00:00,"This is the so-called fake journalism of a few Afghans. Afghans lie in order to gain political asylum and nationality in other countries. The Taliban themselves are stating that they will not harm any woman, child or their property or wealth."
