,id_stable,label_sent,y_sent,label_stance,y_stance
0,22583,plea - happy,2,agree,2
1,141728,neutral,1,neutral,1
2,11317,plea - neutral,1,agree,2
3,177593,fear,0,refugee,3
4,91649,disgust,0,agree,2
5,36014,fear,0,agree,2
6,98952,happy,2,agree,2
7,157856,plea - sad,0,agree,2
8,17931,disgust,0,neutral,1
9,4725,fear,0,agree,2
10,140587,disgust,0,neutral,1
11,185343,disgust,0,agree,2
12,26714,happy,2,agree,2
13,164093,plea - sad,0,agree,2
14,127933,happy,2,neutral,1
15,141496,neutral,1,na,1
16,101557,hopeful,2,agree,2
17,106883,happy,2,agree,2
18,39603,disgust,0,agree,2
19,103886,disgust,0,na,1
20,180896,disgust,0,agree,2
21,106799,happy,2,neutral,1
22,61753,disgust,0,agree,2
23,139561,plea - disgust,0,refugee,3
24,91903,neutral,1,neutral,1
25,113288,neutral,1,neutral,1
26,131872,plea - disgust,0,agree,2
27,66047,plea - fear,0,agree,2
28,176795,neutral,1,neutral,1
29,85625,disgust,0,neutral,1
30,89228,disgust,0,agree,2
31,68387,neutral,1,na,1
32,155180,disgust,0,agree,2
33,171372,disgust,0,neutral,1
34,138605,neutral,1,neutral,1
35,176518,fear,0,neutral,1
36,122595,neutral,1,neutral,1
37,172537,disgust,0,disagree,0
38,32376,disgust,0,refugee,3
39,185132,neutral,1,neutral,1
40,85518,hopeful,2,agree,2
41,61708,sad,0,agree,2
42,12458,plea - happy,2,agree,2
43,25311,disgust,0,neutral,1
44,120006,hopeful,2,agree,2
45,31582,disgust,0,neutral,1
46,144252,disgust,0,neutral,1
47,197768,happy,2,na,1
48,35754,happy,2,agree,2
49,57102,happy,2,agree,2
50,170241,angry,0,disagree,0
51,25545,neutral,1,neutral,1
52,105376,plea - neutral,1,agree,2
53,58238,happy,2,na,1
54,113157,neutral,1,neutral,1
55,158274,disgust,0,agree,2
56,112172,hopeful,2,agree,2
57,11057,disgust,0,agree,2
58,166131,plea - disgust,0,agree,2
59,125830,disgust,0,disagree,0
60,67316,surprise,2,neutral,1
61,58037,neutral,1,neutral,1
62,185265,disgust,0,disagree,0
