,id_stable,Date,Content,ContentClean,Labels,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags,Flag
576,198102,2021-01-29 12:44:14+00:00,"Ongoing restrictions on travel &amp; mobility limit the ability of #asylum seekers to reach the EU+ &amp; seek international protection. In November, most applicants were from Syria, Afghanistan &amp; Pakistan. 

📰PR: https://t.co/HTHXZG6aMa
📊Interactive data: https://t.co/xlEiKhu3Bd https://t.co/MnFEqPT1rZ","Ongoing restrictions on travel &amp; mobility limit the ability of #asylum seekers to reach the EU+ &amp; seek international protection. In November, most applicants were from Syria, Afghanistan &amp; Pakistan. 

📰PR:  
📊Interactive data:    ",0 / 0,11,0.0454545454545454,"EU+, 

📰PR:","https://t.co/HTHXZG6aMa, https://t.co/xlEiKhu3Bd, https://t.co/MnFEqPT1rZ",,Malta,0,1,3,1,['asylum'],yes
577,91732,2021-09-03 13:51:15+00:00,"Many won't agree with me for saying what many are thinking but wouldn't bcuz don't want to give wrong ""Image"" but I can't help being HONEST!So I say They Aren't Welcome

U.S. effort to resettle Afghan refugees faces major hurdles - CBS News https://t.co/KAOiM9RT3k via @GoogleNews","Many won't agree with me for saying what many are thinking but wouldn't bcuz don't want to give wrong ""Image"" but I can't help being HONEST!So I say They Aren't Welcome

U.S. effort to resettle Afghan refugees faces major hurdles - CBS News   via  ",0 / 0,21,0.0846774193548387,"I, I, CBS",https://t.co/KAOiM9RT3k,@GoogleNews,English-speaking,0,0,0,0,No hashtags,yes
578,4073,2022-04-08 10:22:30+00:00,@HelpNowPlease1 Very very upsetting 💔😭 who's paying money to countries like Pakistan and Iran to do this? Another question is who's not paying enough money to support Afghans? As this is leading to the resettlement delays this thread mentions. Biden thinks you can fight the Taliban alone too😡,  Very very upsetting 💔😭 who's paying money to countries like Pakistan and Iran to do this? Another question is who's not paying enough money to support Afghans? As this is leading to the resettlement delays this thread mentions. Biden thinks you can fight the Taliban alone too😡,0 / 0,8,0.028673835125448,,,@HelpNowPlease1,"London, England ",0,0,1,0,No hashtags,yes
579,124819,2021-08-23 15:12:49+00:00,Afghan Resettlement Options https://t.co/s6Wp8xYcFm,Afghan Resettlement Options  ,0 / 0,3,0.1034482758620689,,https://t.co/s6Wp8xYcFm,,Calgary,0,0,2,0,No hashtags,yes
580,138374,2021-08-19 21:55:59+00:00,"@SebastianEPayne Raab is safe? Oh OK, and the translators in Afghanistan who could have been helped with one phone call..... ill wait....","  Raab is safe? Oh OK, and the translators in Afghanistan who could have been helped with one phone call..... ill wait....",0 / 0,5,0.040983606557377,"OK,",,@SebastianEPayne,N Ireland,0,0,3,0,No hashtags,yes
581,181938,2021-07-28 12:49:03+00:00,"https://t.co/UcoFsOGkwb🏴‍☠️ Let more Afghan interpreters resettle in UK, say ex-military chiefs: More Afghans who worked for British forces should be allowed to resettle in the UK, former military chiefs say. https://t.co/WISWJ2VGXI 𝑭𝑂𝐿𝐿𝑂𝑊 @torysleazeUK https://t.co/nbjuRUXnSu","  Let more Afghan interpreters resettle in UK, say ex-military chiefs: More Afghans who worked for British forces should be allowed to resettle in the UK, former military chiefs say.   𝑭𝑂𝐿𝐿𝑂𝑊    ",0 / 0,15,0.0769230769230769,"UK,, UK,, 𝑭𝑂𝐿𝐿𝑂𝑊","https://t.co/UcoFsOGkwb🏴‍☠️, https://t.co/WISWJ2VGXI, https://t.co/nbjuRUXnSu",@torysleazeUK,BUY ME A COFFEE ❤️,0,6,10,1,No hashtags,yes
582,184385,2021-07-19 17:33:35+00:00,@Mave_Intel Make sure your family members are not abducted and maimed by the advancing Taliban! Or is he coming to seek asylum in India? The situation in Afghanistan has become very murky now.,  Make sure your family members are not abducted and maimed by the advancing Taliban! Or is he coming to seek asylum in India? The situation in Afghanistan has become very murky now.,0 / 0,6,0.0329670329670329,,,@Mave_Intel,English-speaking,0,0,1,0,No hashtags,yes
583,181532,2021-07-29 18:03:49+00:00,"The senate’s $2.1B security supplement to fund the US Capitol Police, reimburse the National Guard for 1/6 and give DOD funding for resettling Afghans who worked as translators for the US has passed the 60 vote margin and counting. USCP was going to run out of $ in August","The senate’s $2.1B security supplement to fund the US Capitol Police, reimburse the National Guard for 1/6 and give DOD funding for resettling Afghans who worked as translators for the US has passed the 60 vote margin and counting. USCP was going to run out of $ in August",0 / 0,19,0.0698529411764705,"$2.1B, US, DOD, US, USCP",,,"Washington, DC",0,3,6,1,No hashtags,yes
584,3979,2022-04-08 18:35:58+00:00,"@micksheldrick Bruce, the USA would rather see the Afghan starve to death - but Biden refuses to release billions of dollars that belong to Afghanistan.
Then, there are the refugees across the Middle East and Africa.
Did only the Ukranian refugee crisis awaken you?","  Bruce, the USA would rather see the Afghan starve to death - but Biden refuses to release billions of dollars that belong to Afghanistan.
Then, there are the refugees across the Middle East and Africa.
Did only the Ukranian refugee crisis awaken you?",0 / 0,13,0.0515873015873015,USA,,@micksheldrick,English-speaking,0,0,0,0,No hashtags,yes
585,154983,2021-08-17 14:30:01+00:00,"News from the #Philippines | The Philippines is willing to accept asylum seekers from Afghanistan, which has been taken over by the Islamist movement Taliban.
https://t.co/swSLuqy05V","News from the #Philippines | The Philippines is willing to accept asylum seekers from Afghanistan, which has been taken over by the Islamist movement Taliban.
 ",0 / 0,7,0.04375,,https://t.co/swSLuqy05V,,"Washington, DC",0,6,8,2,['Philippines'],yes
