,id_stable,Date,Content,ContentClean,Labels,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags,Flag
951,130863,2021-08-21 17:13:20+00:00,"Trump Admin Deliberately Sabotaged Refugee Process, Stranding Afghan Allies https://t.co/db4f8zpYFC 
Thank you, @OliviaTroye and @maddow","Trump Admin Deliberately Sabotaged Refugee Process, Stranding Afghan Allies   
Thank you,   and  ",0 / 0,10,0.1030927835051546,,https://t.co/db4f8zpYFC,"@OliviaTroye, @maddow",Switzerland ,0,15,8,1,No hashtags,yes
952,15920,2022-02-23 18:30:18+00:00,I was recently quoted by the New York Times in “Afghans Who Bet on Fast Path to the U.S. Are Facing a Closed Door.”  “The refugee resettlement program is overwhelmed and lacks resources because of all the cuts the prior administration made.” https://t.co/Qolnq9bR4w #MillerMayer,I was recently quoted by the New York Times in “Afghans Who Bet on Fast Path to the U.S. Are Facing a Closed Door.”  “The refugee resettlement program is overwhelmed and lacks resources because of all the cuts the prior administration made.”   #MillerMayer,0 / 0,18,0.0703125,"I, U.S.",https://t.co/Qolnq9bR4w,,"Ithaca, NY",2,1,1,0,['MillerMayer'],yes
953,135153,2021-08-20 16:17:55+00:00,@NoahCRothman @MeghanMcCain So the answer is to let every Afghan into the country without vetting them. Get real! The biased pundits and main stream media are piling on to what every fair pundit knows is a complex lose-lose issue!,    So the answer is to let every Afghan into the country without vetting them. Get real! The biased pundits and main stream media are piling on to what every fair pundit knows is a complex lose-lose issue!,0 / 0,4,0.0194174757281553,,,"@NoahCRothman, @MeghanMcCain",English-speaking,0,0,0,0,No hashtags,yes
954,162171,2021-08-16 19:38:35+00:00,"@Gazza41 @Ztx294 @afewpoints @ConraddKonnrad @susan04071 @Alabamakid7 @Tip_of_spear @giles7452 @Roblev0 @The_Leaver @Davidmetroland @tobedecided22 @ShaneJa16905901 @fan_vor @Marie48GFC @brianbloop2 @LeftBehindPoet @Mindedmusically @gil0607 @Shegor97 @thegrimbarian @charith88678000 @Europhile507 @David19531501 @JohnRya13591294 @HWick_Chris @BlamesJinds @CarlsbadCharlie @ClaremontGiddy @Damonxv1 @Mac_Paddy54 @NielsOckelmann @Chris_not_a_bot @BrunoTheBridge @CheeseNBranston @GeoffreyKeey @Matt_GS @wanderer_bolton @cathyby @markwh2001 @BeowulfSchaefer @EuOutta @ProfessorsDAD @condimentset @IanJon407 @patrick_tweets @MartinRedfern14 @Ciolfilicious1 @MattFingersArni @PFr1end The problem is we are looking at a refugee crisis now, the EU is already showing rifts over Afghan refugees &amp; strengthened Taliban in Afghanistan will now be a hotbed for retaliatory terrorist attacks against every country that put troops in the country.","                                                                                                    The problem is we are looking at a refugee crisis now, the EU is already showing rifts over Afghan refugees &amp; strengthened Taliban in Afghanistan will now be a hotbed for retaliatory terrorist attacks against every country that put troops in the country.",0 / 0,6,0.0167597765363128,EU,,"@Gazza41, @Ztx294, @afewpoints, @ConraddKonnrad, @susan04071, @Alabamakid7, @Tip_of_spear, @giles7452, @Roblev0, @The_Leaver, @Davidmetroland, @tobedecided22, @ShaneJa16905901, @fan_vor, @Marie48GFC, @brianbloop2, @LeftBehindPoet, @Mindedmusically, @gil0607, @Shegor97, @thegrimbarian, @charith88678000, @Europhile507, @David19531501, @JohnRya13591294, @HWick_Chris, @BlamesJinds, @CarlsbadCharlie, @ClaremontGiddy, @Damonxv1, @Mac_Paddy54, @NielsOckelmann, @Chris_not_a_bot, @BrunoTheBridge, @CheeseNBranston, @GeoffreyKeey, @Matt_GS, @wanderer_bolton, @cathyby, @markwh2001, @BeowulfSchaefer, @EuOutta, @ProfessorsDAD, @condimentset, @IanJon407, @patrick_tweets, @MartinRedfern14, @Ciolfilicious1, @MattFingersArni, @PFr1end",English-speaking,1,0,1,0,No hashtags,yes
955,66561,2021-09-23 13:16:56+00:00,"The Center for Refugee Services is a charity in San Antonio and right now they are gearing up to help the Afghans that will be relocating here.  I volunteer there,  they are good people.  I know not everyone can donate, but for those who can: https://t.co/dFuSE2lcAV","The Center for Refugee Services is a charity in San Antonio and right now they are gearing up to help the Afghans that will be relocating here.  I volunteer there,  they are good people.  I know not everyone can donate, but for those who can:  ",0 / 0,9,0.0368852459016393,"I, I",https://t.co/dFuSE2lcAV,,English-speaking,0,0,0,0,No hashtags,yes
956,174504,2021-08-13 23:28:50+00:00,"From the official press release, it appears that this will primarily target individuals who have already fled Afghanistan, and will include both government and private sponsorship resettlement spots.

https://t.co/dle6X795ks","From the official press release, it appears that this will primarily target individuals who have already fled Afghanistan, and will include both government and private sponsorship resettlement spots.

 ",0 / 0,2,0.0099009900990099,,https://t.co/dle6X795ks,,English-speaking,1,0,1,0,No hashtags,yes
957,130885,2021-08-21 17:08:00+00:00,Europe Fears Afghan Refugee Crisis After Taliban Takeover https://t.co/jbjfv1AiiD,Europe Fears Afghan Refugee Crisis After Taliban Takeover  ,0 / 0,8,0.135593220338983,,https://t.co/jbjfv1AiiD,,"Lagos, Nigeria",0,0,0,0,No hashtags,yes
958,74523,2021-09-15 18:13:44+00:00,@TheDan0007 @NC5 They were vetted first in Afghanistan before being allowed to work with our military - duh! - then again before being flown over.,    They were vetted first in Afghanistan before being allowed to work with our military - duh! - then again before being flown over.,0 / 0,2,0.0150375939849624,,,"@TheDan0007, @NC5",Nashville,0,0,0,0,No hashtags,yes
959,80386,2021-09-10 01:01:02+00:00,"Joe Biden guiding planes of unvetted Afghan refugees to the United States, what could possibly go wrong?!    ~A.F. Branco https://t.co/8MNbg3bDFP","Joe Biden guiding planes of unvetted Afghan refugees to the United States, what could possibly go wrong?!    ~A.F. Branco  ",0 / 0,8,0.065040650406504,~A.F.,https://t.co/8MNbg3bDFP,,English-speaking,0,34,42,2,No hashtags,yes
960,151372,2021-08-17 23:35:59+00:00,".@StephMillerShow people blaming @POTUS @joebiden for the situation at Kabul’s HKIA need to understand the trump deal cut out the Afghan govt, undermined it &amp; when their president &amp; police force fled the people panicked.
pompeo’s State Dept held up SIV apps + took 867 to process. https://t.co/XfkcUQIYMm",".  people blaming     for the situation at Kabul’s HKIA need to understand the trump deal cut out the Afghan govt, undermined it &amp; when their president &amp; police force fled the people panicked.
pompeo’s State Dept held up SIV apps + took 867 to process.  ",0 / 0,11,0.0419847328244274,"HKIA, SIV",https://t.co/XfkcUQIYMm,"@StephMillerShow, @POTUS, @joebiden",English-speaking,0,1,0,0,No hashtags,yes
